WORD,TYPE,PLURAL,SYNONYM,ANTONYM
آبد,اسم,,,داجن
آبدة,اسم,أوابد,أوابد,
آبن,اسم,,,مادح
آجل,اسم,,,عاجل
آجلة,اسم,,,عاجلة
آجن,اسم,,,طيب;لذيذ;زلال;عذب;قراح
آخر,اسم,,,أول;أوّل
آخرة,اسم,,,دنيا
آخرون,اسم,,,
آخية,اسم,أواخ,,
آدب,اسم,أدبة,,
آدمي,اسم,,,رذيل
آذي,اسم,أواذي,,
آري,اسم,أوار;أواري,أواري,مرتوي;ريّان
آزم,اسم,أزم,أزم,حلّ
آزمة,اسم,أوازم,,
آسن,اسم,,,عذب;لذيذ;طيّبسلسبيل;زلال;صافي;قراح;نمير
آسي,اسم,أساة,,
آسية,اسم,أواس,,
آصرة,اسم,أواصر,,
آطرة,اسم,أواطر,,
آفقة,اسم,أوافق,,
آفل,اسم,,,طالع;بازغ
آكل,اسم,,,شارب;صائم
آمة,اسم,أوام,,
آمد,اسم,,,فارغ
آمدة,اسم,أوامد,,
آمر,اسم,,,ناهي
آمل,اسم,أملة,أملة,يائس;قانط
آمن,اسم,,,أنكر;جحد;ألحد;خائف;قلق;مضطرب
آنسة,اسم,أوانس,,عانس;سيّدة
آنف,اسم,,,مستقبل;حاضر;قادم
آني,اسم,,,أحمق;غضوب
آني(منالناس),اسم,,,
آهل,اسم,,,خال;مقفر;موحش
آيب,اسم,,,ذاهب
آية,اسم,آي,,
أب,اسم,آباء,,
أبابيد(منالطير),اسم,,,
أبابيل(منالطير),اسم,,,متفرّقة;متشتّتة;أباديد
أباديد(منالطير),اسم,,,مجتمعة;أبابيل
أباعد,اسم,,,أقارب
أبتر,اسم,بتر,,
أبجر,اسم,أباجر,,ضامر
أبح,اسم,بح,,
أبد,اسم,آباد,آباد,زوال;فناء;أفنا
أبدي,اسم,,,فاني;زّائل
أبرص,اسم,سوام,,
أبرق,اسم,أبارق,,
أبزخ,اسم,,,أحدب
أبشع,اسم,,,أجمل;أحسن
أبطح,اسم,أباطح,,
أبطولة,اسم,أباطيل,,
أبعد,اسم,,,أقرب;قرّب
أبلخ,اسم,,,ذكيّ;فطن
أبلد,اسم,,,ذكيّ
أبله,اسم,,,ذكيّ;فطن
أبنة,اسم,أبن,أبن,مدح;تقريظ
أبهة,اسم,,,بساطة;سفول
أبهم,اسم,بهم,,
أبور,اسم,أبر,,
أبوض,اسم,أبض,,
أبي,اسم,,,خسيس;منحطّ;سافل
أبيض,اسم,بيض,,أسود
أتان,اسم,أتن,,
أترور,اسم,أتارير,,
أتلع(طويلالعنق),اسم,,,أوقص(قصيرالعنق)
أثاث,اسم,أثث,,
أثجر,اسم,ثجر,,
أثر,اسم,آثار,,
أثعل,اسم,أثاعل,,
أثفية,اسم,أثافي,,
أثلة,اسم,إثال,,
أثناء,اسم,,,أطراف
أثيم,اسم,,,بريء
أجاج,اسم,,,خامد
أجاج(منالماء),اسم,,,عذب
أجدب,اسم,جدب,جدب,أخصب
أجدل,اسم,أجادل,أجادل,
أجر,اسم,أجور,أجور,عقاب;عاقب
أجرة,اسم,أجر,,
أجرد,اسم,أجارد,,
أجرع,اسم,أجارع,,
أجش,اسم,,,
أجش(منالأصوات),اسم,,,ناعم;رخيم
أجل,اسم,آجال,آجال,بداية;حقّر;لا;كلا;عجّل
أجلح,اسم,جلح,,
أجلح,اسم,أجلاح,,
أجم,اسم,آجام,آجام,تارس
أجمة,اسم,أجم,,
أجمل,اسم,,,أقبح;أبشع
أجنب,اسم,أجانب,أجانب,قرّب
أجنبي,اسم,أجانب,أجانب,مواطن;وطنيّ
أجوح,اسم,جوح,,
أجير,اسم,أجراء,,
أحبار,اسم,كرادلة,,
أحبش,اسم,أحابش,,
أحبوش,اسم,أحابيش,,
أحبول,اسم,أحابيل,,
أحجوة,اسم,أحاجي,,
أحد,اسم,آحاد,,
أحدوة,اسم,أحادي,,
أحذ,اسم,حذ,,
أحسن,اسم,أحاسن,أحاسن,أسوء;أقبح;أساء
أحشوش,اسم,أحاشيش,,
أحقب,اسم,حقب,,
أحقب,اسم,حقب,,
