ID,WORD,VOCALIZED,WORD_TYPE,PLURAL,PLURAL_VOCALIZED
1,آبدة ,آبدة ,اسم, أوابد, أوابد
48,آخية ,آخية ,اسم, أواخ, أواخ
49,آخية ,آخية ,اسم, أواخي, أواخي
53,آدب ,آدب ,اسم, أدبة, أدبة
67,آذي ,آذي ,اسم, أواذي, أواذي
86,آري ,آري ,اسم, أوار, أوار
87,آري ,آري ,اسم, أواري, أواري
96,آزم ,آزم ,اسم, أزم, أزم
97,آزمة ,آزمة ,اسم, أوازم, أوازم
109,آسي ,آسي ,اسم, أساة, أساة
110,آسية ,آسية ,اسم, أواس, أواس
118,آصرة ,آصرة ,اسم, أواصر, أواصر
126,آطرة ,آطرة ,اسم, أواطر, أواطر
135,آفقة ,آفقة ,اسم, أوافق, أوافق
189,آمة ,آمة ,اسم, أوام, أوام
177,آمدة ,آمدة ,اسم, أوامد, أوامد
187,آمل ,آمل ,اسم, أملة, أملة
199,آنسة ,آنسة ,اسم, أوانس, أوانس
223,آية ,آية ,اسم, آي, آي
17,أب ,أب ,اسم, آباء, آباء
231,أبتر ,أبتر ,اسم, بتر, بتر
245,أبجر ,أبجر ,اسم, أباجر, أباجر
252,أبح ,أبح ,اسم, بح, بح
2,أبد ,أبد ,اسم, آباد, آباد
304,أبرص ,أبرص ,اسم, سوام, سوام
315,أبرق ,أبرق ,اسم, أبارق, أبارق
380,أبطح ,أبطح ,اسم, أباطح, أباطح
390,أبطولة ,أبطولة ,اسم, أباطيل, أباطيل
16,أبنة ,أبنة ,اسم, أبن, أبن
431,أبهم ,أبهم ,اسم, بهم, بهم
4,أبور ,أبور ,اسم, أبر, أبر
9,أبوض ,أبوض ,اسم, أبض, أبض
464,أبيض ,أبيض ,اسم, بيض, بيض
20,أتان ,أتان ,اسم, أتن, أتن
506,أترور ,أترور ,اسم, أتارير, أتارير
22,أثاث ,أثاث ,اسم, أثث, أثث
581,أثجر ,أثجر ,اسم, ثجر, ثجر
24,أثر ,أثر ,اسم, آثار, آثار
590,أثعل ,أثعل ,اسم, أثاعل, أثاعل
27,أثفية ,أثفية ,اسم, أثافي, أثافي
28,أثلة ,أثلة ,اسم, إثال, إثال
699,أجدب ,أجدب ,اسم, جدب, جدب
720,أجدل ,أجدل ,اسم, أجادل, أجادل
30,أجر ,أجر ,اسم, أجور, أجور
31,أجرة ,أجرة ,اسم, أجر, أجر
759,أجرد ,أجرد ,اسم, أجارد, أجارد
779,أجرع ,أجرع ,اسم, أجارع, أجارع
33,أجل ,أجل ,اسم, آجال, آجال
875,أجلح ,أجلح ,اسم, جلح, جلح
876,أجلح ,أجلح ,اسم, أجلاح, أجلاح
36,أجم ,أجم ,اسم, آجام, آجام
37,أجمة ,أجمة ,اسم, أجم, أجم
947,أجنب ,أجنب ,اسم, أجانب, أجانب
948,أجنبي ,أجنبي ,اسم, أجانب, أجانب
1001,أجوح ,أجوح ,اسم, جوح, جوح
32,أجير ,أجير ,اسم, أجراء, أجراء
5594,أحبار ,أحبار ,اسم, كرادلة, كرادلة
1051,أحبش ,أحبش ,اسم, أحابش, أحابش
1052,أحبوش ,أحبوش ,اسم, أحابيش, أحابيش
1057,أحبول ,أحبول ,اسم, أحابيل, أحابيل
1104,أحجوة ,أحجوة ,اسم, أحاجي, أحاجي
40,أحد ,أحد ,اسم, آحاد, آحاد
1120,أحدوة ,أحدوة ,اسم, أحادي, أحادي
1122,أحذ ,أحذ ,اسم, حذ, حذ
1196,أحسن ,أحسن ,اسم, أحاسن, أحاسن
1211,أحشوش ,أحشوش ,اسم, أحاشيش, أحاشيش
1285,أحقب ,أحقب ,اسم, حقب, حقب
1297,أحقب ,أحقب ,اسم, حقب, حقب
1321,أحكل ,أحكل ,اسم, حكل, حكل
1367,أحمر ,أحمر ,اسم, حمر, حمر
3558,أحمق ,أحمق ,اسم, شعانين, شعانين
1421,أحنى ,أحنى ,اسم, حنو, حنو
50,أخ ,أخ ,اسم, آخاء, آخاء
51,أخت ,أخت ,اسم, أخوات, أخوات
1506,أخدود ,أخدود ,اسم, أخاديد, أخاديد
1511,أخدور ,أخدور ,اسم, أخادير, أخادير
43,أخذ ,أخذ ,اسم, أخذان, أخذان
1594,أخرم ,أخرم ,اسم, خرم, خرم
1595,أخرم ,أخرم ,اسم, أخارم, أخارم
46,أخرى ,أخرى ,اسم, أخر, أخر
1649,أخصوم ,أخصوم ,اسم, أخاصيم, أخاصيم
1662,أخضر ,أخضر ,اسم, خضر, خضر
1707,أخطم ,أخطم ,اسم, خطم, خطم
1723,أخقوق ,أخقوق ,اسم, أخاقيق, أخاقيق
52,أخية ,أخية ,اسم, أخايا, أخايا
1835,أخيل ,أخيل ,اسم, خيل, خيل
1836,أخيل ,أخيل ,اسم, أخايل, أخايل
62,أداة ,أداة ,اسم, أدوات, أدوات
3540,أداة ,أداة ,اسم, شعب, شعب
1869,أدبس ,أدبس ,اسم, دبس, دبس
1924,أدحوة ,أدحوة ,اسم, أداح, أداح
1925,أدحي ,أدحي ,اسم, أداح, أداح
58,أدرة ,أدرة ,اسم, أدر, أدر
2006,أدغم ,أدغم ,اسم, دغم, دغم
2081,أدهم ,أدهم ,اسم, دهم, دهم
2082,أدهم ,أدهم ,اسم, أداهم, أداهم
55,أديب ,أديب ,اسم, أدباء, أدباء
61,أديم ,أديم ,اسم, أدم, أدم
64,أذن ,أذن ,اسم, آذان, آذان
65,أذنة ,أذنة ,اسم, أذن, أذن
69,أربة ,أربة ,اسم, أرب, أرب
2236,أربعاء ,أربعاء ,اسم, أربعاوات, أربعاوات
2259,أربون ,أربون ,اسم, أرابين, أرابين
2266,أرت ,أرت ,اسم, رت, رت
